title,cat1,cat2,cat3,cat4,img,link
투톤 BB브라팬티 세트,패션의류/속옷,속옷/잠옷,여성속옷,브라팬티세트,https://asset.m-gs.kr/prod/1075489853/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1075489853&sectid=1660578&lsectid=1660578&cate_link=300-1660578&rank=2&lseq=427008
투톤 BB브라팬티 세트,패션의류/속옷,속옷/잠옷,여성속옷,브라팬티세트,https://asset.m-gs.kr/prod/1073801141/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1073801141&sectid=1660578&lsectid=1660578&cate_link=300-1660578&rank=3&lseq=427008
투톤 BB브라팬티 세트,패션의류/속옷,속옷/잠옷,여성속옷,브라팬티세트,https://asset.m-gs.kr/prod/1073801326/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1073801326&sectid=1660578&lsectid=1660578&cate_link=300-1660578&rank=4&lseq=427008
플레이텍스 더블리프팅 컴포트 6세트,패션의류/속옷,속옷/잠옷,여성속옷,브라팬티세트,https://asset.m-gs.kr/prod/1071589802/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1071589802&sectid=1660578&lsectid=1660578&cate_link=300-1660578&rank=5&lseq=427008
아디다스 The New Black 드로즈 8종,패션의류/속옷,속옷/잠옷,남성속옷,드로즈,https://asset.m-gs.kr/prod/1074680151/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1074680151&sectid=1660578&lsectid=1660578&cate_link=300-1660578&rank=6&lseq=427008
시슬리 시그니처 브라팬티 5세트 + 샤워가운 1종,패션의류/속옷,속옷/잠옷,여성속옷,브라팬티세트,https://asset.m-gs.kr/prod/1075846422/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1075846422&sectid=1660578&lsectid=1660578&cate_link=300-1660578&rank=7&lseq=427008
액티브 컴포트 프리컷 브라팬티,패션의류/속옷,속옷/잠옷,여성속옷,브라팬티세트,https://asset.m-gs.kr/prod/1078013965/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1078013965&sectid=1660578&lsectid=1660578&cate_link=300-1660578&rank=8&lseq=427008
폴로 랄프로렌 여성 꽈배기 케이블 반팔가디건,패션의류/속옷,수입명품의류,니트/가디건,,https://asset.m-gs.kr/prod/1076840734/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1076840734&sectid=1670571&lsectid=1670571&cate_link=300-1670571&rank=1&lseq=427004
폴로 랄프로렌 옥스포드 셔츠,패션의류/속옷,수입명품의류,티셔츠/셔츠,,https://asset.m-gs.kr/prod/1066895885/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1066895885&sectid=1670571&lsectid=1670571&cate_link=300-1670571&rank=2&lseq=427004
여성 코튼 블렌드 가디건,패션의류/속옷,수입명품의류,니트/가디건,,https://asset.m-gs.kr/prod/1049208338/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1049208338&sectid=1670571&lsectid=1670571&cate_link=300-1670571&rank=3&lseq=427004
